
Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
"Superior temporal","Ventromedial prefrontal",0,4107,3,4110,0.0
Pulvinar,("Ventral posterolateral" AND (nuclei OR nucleus)),5,1128,143,1271,0.00393391030685
(Raphe AND (nuclei OR nucleus)),"Superior frontal",3,8318,1088,9406,0.000318945354029
Putamen,"Ventromedial prefrontal",0,10749,3,10752,0.0
Putamen,"Superior temporal",128,10621,3979,14600,0.00876712328767
Subgranular,"Ventromedial prefrontal",0,632,3,635,0.0
"Substantia nigra","Zona incerta",220,19167,754,19921,0.0110436223081
Insula*,"Thalamic reticular",9,17164,591,17755,0.000506899464939
Cingulate,"Inferior parietal lobule",217,10887,579,11466,0.0189255189255
("Centromedian" AND (nuclei OR nucleus)),periaqueductal,6,210,4570,4780,0.00125523012552
(Dorsomedial AND hypothal*),Pons,108,2031,25476,27507,0.00392627331225
"Basal forbrain",("Medial dorsal" AND nucl*),0,1,113,114,0.0
"Diagonal band of Broca",(Superior AND collicul*),22,873,10062,10935,0.00201188843164
"Broca's area","Posterior cingulate",12,682,1890,2572,0.00466562986003
(Intralaminar AND (nuclei OR nucleus)),"Thalamic reticular",74,1026,526,1552,0.0476804123711
"Calcarine fissure","Zona incerta",0,103,974,1077,0.0
Caudate,("Ventral posterior" AND (nuclei OR nucleus)),9,18792,347,19139,0.000470244004389
Claustrum,"Inferior frontal",232,82509,2580,85089,0.00272655689925
"Indusium griseum",Pulvinar,0,77,1133,1210,0.0
Hypothalam*,Suprachiasmatic,3148,104401,2878,107279,0.0293440468312
Hypothalam*,("Ventral posterior" AND (nuclei OR nucleus)),25,107524,331,107855,0.000231792684623
(Inferior AND collicul*),"Olfactory bulb",126,4157,11085,15242,0.00826663167563
Entorhinal,"Visual cortex",66,5481,22814,28295,0.00233256759145
Fusiform,"Inferior parietal lobule",58,5397,738,6135,0.00945395273024
"Inferior temporal",Subgranular,0,1711,632,2343,0.0
"Lingual gyrus",Premotor,18,236,4711,4947,0.00363856882959
"Nucleus basalis",Pulvinar,9,1838,1124,2962,0.00303848750844
"Nucleus basalis",Suprachiasmatic,13,1834,6013,7847,0.00165668408309
Infralimbic,Insula*,109,387,17064,17451,0.00624606039768
Infralimbic,Perirhinal,53,443,1147,1590,0.0333333333333
"Pontine nuclei","Postcentral gyrus",0,798,531,1329,0.0
Perirhinal,Pons,17,1183,25567,26750,0.000635514018692
Insula*,"Postcentral gyrus",92,17081,439,17520,0.00525114155251
"Pontine nuclei","Superior frontal",1,797,1090,1887,0.000529941706412
"Postcentral gyrus",("Ventral anterior" AND (nuclei OR nucleus)),0,531,237,768,0.0
"Medial frontal",("Ventral posteromedial" AND (nuclei OR nucleus)),1,1594,111,1705,0.00058651026393
("Posterior nucleus" AND hypothalamus),"Posterior cingulate",0,67,1902,1969,0.0
(Periventricular AND (nuclei OR nucleus)),(Superior AND collicul*),84,2411,10000,12411,0.00676818950931
(Periventricular AND (nuclei OR nucleus)),Pineal,34,2461,14369,16830,0.0020202020202
"Middle frontal",Pons,12,1016,25572,26588,0.000451331427712
"Middle temporal","Substantia nigra",5,1632,19382,21014,0.000237936613686
"Supplementary motor","Visual extrastriate",10,2351,1524,3875,0.00258064516129
"Superior temporal",("Ventral posterolateral" AND (nuclei OR nucleus)),0,4107,148,4255,0.0
Suprachiasmatic,"Ventromedial prefrontal",0,6026,3,6029,0.0
Pulvinar,(Raphe AND (nuclei OR nucleus)),19,1114,8302,9416,0.00201784197111
Putamen,Suprachiasmatic,77,10672,5949,16621,0.00463269358041
"Wernicke's area","Visual extrastriate",2,249,1532,1781,0.00112296462661
(Inferior AND collicul*),("Ventral posterior" AND (nuclei OR nucleus)),7,4276,349,4625,0.00151351351351
"Substantia nigra","Visual cortex",102,19285,22778,42063,0.00242493402753
"Anterior cingulate",("Inferior olive" OR "Inferior olivary"),2,5800,2378,8178,0.000244558571778
"Angular gyrus",Thalamus,23,479,42859,43338,0.000530712077161
"Angular gyrus","Medial geniculate",0,502,1249,1751,0.0
"Calcarine fissure","Diagonal band of Broca",0,103,895,998,0.0
"Angular gyrus",("Red nucleus"),0,502,2376,2878,0.0
"Basal forbrain",("Heschl's gyrus" OR "Transverse temporal"),0,1,1148,1149,0.0
Cingulate,"Diagonal band of Broca",61,11043,834,11877,0.00513597709859
(Cochlear AND (nuclei OR nucleus)),Striatum,44,5263,58896,64159,0.000685796225004
Cerebellum,"Primary motor",308,65092,2897,67989,0.00453014458221
(Cochlear AND (nuclei OR nucleus)),("Superior olive" OR "superior olivary"),656,4651,601,5252,0.124904798172
(Dorsomedial AND hypothal*),"Middle temporal",5,2134,1632,3766,0.00132766861391
"Diagonal band of Broca","Substantia nigra",53,842,19334,20176,0.00262688342585
"Globus pallidus",(Septal AND (nuclei OR nucleus)),185,7921,4475,12396,0.0149241690868
"Broca's area",("Gustatory cortex" OR "gustatory area"),1,693,152,845,0.00118343195266
"Broca's area",Entorhinal,1,693,5546,6239,0.00016028209649
Cingulate,Premotor,562,10542,4167,14709,0.0382078999252
Caudate,"Visual cortex",183,18618,22697,41315,0.00442938400097
Cingulum,"Interstitial nucleus",0,685,514,1199,0.0
(Cochlear AND (nuclei OR nucleus)),("Medial dorsal" AND nucl*),2,5305,111,5416,0.000369276218612
"Indusium griseum","Lateral geniculate",1,76,5179,5255,0.000190294957184
"Dentate gyrus","Superior temporal",11,11432,4096,15528,0.000708397733127
"Indusium griseum","Ventral tegmentum",0,77,285,362,0.0
"Dentate gyrus","Inferior frontal",2,11441,2810,14251,0.0001403410287
"Indusium griseum","Visual extrastriate",0,77,1534,1611,0.0
(Inferior AND collicul*),"Posterior cingulate",5,4278,1897,6175,0.00080971659919
"Globus pallidus","Inferior parietal lobule",3,8103,793,8896,0.000337230215827
"Inferior parietal lobule",Insula*,125,671,17048,17719,0.0070545741859
"Inferior temporal",("Red nucleus"),2,1709,2374,4083,0.000489835904972
"Globus pallidus","Middle temporal",7,8099,1630,9729,0.000719498406825
"Inferior parietal lobule","Posterior cingulate",79,717,1823,2540,0.0311023622047
("Medial dorsal" AND nucl*),"Medial geniculate",10,103,1239,1342,0.00745156482861
("Nucleus cuneatus" OR "cuneate nucleus"),"Substantia nigra",25,667,19362,20029,0.00124819012432
"Inferior frontal",Premotor,228,2584,4501,7085,0.0321806633733
periaqueductal,(Superior AND collicul*),360,4216,9724,13940,0.025824964132
Infralimbic,Pulvinar,1,495,1132,1627,0.000614628149969
Parahippocamp*,("Straight gyrus" OR "gyrus rectus"),6,2653,124,2777,0.00216060496939
Parahippocamp*,Temporoparietal,19,2640,1441,4081,0.00465572163685
Perirhinal,Pineal,1,1199,14402,15601,6.40984552272e-05
"Middle temporal","Visual cortex",351,1286,22529,23815,0.0147386101197
("Locus coeruleus" OR "locus ceruleus"),periaqueductal,436,7203,4140,11343,0.0384378030503
"Posterior cingulate","Visual extrastriate",10,1892,1524,3416,0.00292740046838
("Posterior nucleus" AND hypothalamus),"Ventral tegmentum",0,67,285,352,0.0
(Medulla OR "medulla oblongata"),"Zona incerta",89,50733,885,51618,0.00172420473478
"Primary auditory","Wernicke's area",13,1856,238,2094,0.0062082139446
"Primary auditory",Pulvinar,5,1864,1128,2992,0.00167112299465
"Primary auditory","Primary sensory",40,1829,2970,4799,0.00833506980621
"Superior frontal","Zona incerta",0,1091,974,2065,0.0
Pulvinar,Temporoparietal,4,1129,1456,2585,0.00154738878143
Subiculum,Subthalam*,174,98067,3955,102022,0.00170551449687
"Substantia nigra",Subiculum,1905,17482,96336,113818,0.0167372471841
"Amygdala","Postcentral gyrus",16,23341,515,23856,0.000670690811536
"Anterior cingulate",(Intralaminar AND (nuclei OR nucleus)),28,5774,1072,6846,0.0040899795501
"Anterior cingulate","Substantia nigra",86,5716,19301,25017,0.00343766238958
"Angular gyrus",Hippocamp*,46,456,104048,104504,0.000440174538774
("Centromedian" AND (nuclei OR nucleus)),Parahippocamp*,0,216,2659,2875,0.0
(Intralaminar AND (nuclei OR nucleus)),"Postcentral gyrus",0,1100,531,1631,0.0
"Lateral geniculate",(Intralaminar AND (nuclei OR nucleus)),101,5079,999,6078,0.0166173083251
"Lateral geniculate",Operculum,4,5176,922,6098,0.0006559527714
Cerebellum,("Ventral posteromedial" AND (nuclei OR nucleus)),7,65393,105,65498,0.00010687349232
Ambiguus,Suprachiasmatic,7,1209,6019,7228,0.000968456004427
Caudate,("Inferior olive" OR "Inferior olivary"),75,18726,2305,21031,0.00356616423375
Caudate,(Dorsomedial AND hypothal*),105,18696,2034,20730,0.00506512301013
Caudate,("Ventral posterolateral" AND (nuclei OR nucleus)),8,18793,140,18933,0.000422542650399
Cingulum,"Globus pallidus",7,678,8099,8777,0.000797539022445
Cingulum,Pineal,0,685,14403,15088,0.0
("Gustatory cortex" OR "gustatory area"),"Substantia nigra",0,153,19387,19540,0.0
("Centromedian" AND (nuclei OR nucleus)),"Nucleus basalis",2,214,1845,2059,0.000971345313259
"Dentate gyrus","Medial geniculate",32,11411,1217,12628,0.00253405131454
Hypothalam*,"Primary auditory",5,107544,1864,109408,4.57004972214e-05
("Inferior olive" OR "Inferior olivary"),"Postcentral gyrus",0,2380,531,2911,0.0
Hippocamp*,"Primary motor",84,104010,3121,107131,0.000784086772269
Hippocamp*,("Nucleus cuneatus" OR "cuneate nucleus"),19,104075,673,104748,0.00018138771146
("Nucleus gracilis" OR "gracile nucleus"),"Posterior parahippocampal gyrus",0,374,41,415,0.0
"Inferior frontal","Interstitial nucleus",0,2812,514,3326,0.0
("Nucleus gracilis" OR "gracile nucleus"),"Posterior cingulate",0,374,1902,2276,0.0
Infralimbic,"Piriform cortex",12,484,1731,2215,0.00541760722348
"Nucleus accumbens","Posterior parietal",11,12534,2143,14677,0.000749471962935
"Medial frontal",("Red nucleus"),1,1594,2375,3969,0.000251952632905
Orbitofrontal,("Ventral posterolateral" AND (nuclei OR nucleus)),0,2996,148,3144,0.0
("Red nucleus"),Suprachiasmatic,11,2365,6015,8380,0.00131264916468
Pineal,"Piriform cortex",13,14390,1730,16120,0.000806451612903
Precuneus,(Superior AND collicul*),5,1215,10079,11294,0.000442712944927
Putamen,Thalamus,2031,8718,40851,49569,0.0409731888882
Subiculum,"Ventral tegmentum",43,98198,242,98440,0.000436814303129
(Raphe AND (nuclei OR nucleus)),"Zona incerta",136,8185,838,9023,0.0150725922642
("Nucleus gracilis" OR "gracile nucleus"),"Ventromedial prefrontal",0,374,3,377,0.0
Ambiguus,("Medial dorsal" AND nucl*),1,1215,112,1327,0.000753579502638
Ambiguus,"Stria terminalis",31,1185,2699,3884,0.00798146240989
"Anterior cingulate","Inferior parietal lobule",111,5691,685,6376,0.017409033877
Cerebellum,Pulvinar,36,65364,1097,66461,0.000541671055205
("Centromedian" AND (nuclei OR nucleus)),Premotor,2,214,4727,4941,0.000404776361061
"Angular gyrus","Visual cortex",24,478,22856,23334,0.00102854204166
Fusiform,Precuneus,120,5335,1100,6435,0.018648018648
"Broca's area",Fusiform,17,677,5438,6115,0.00278004905969
Caudate,"Piriform cortex",142,18659,1601,20260,0.00700888450148
Cingulum,"Posterior cingulate",30,655,1872,2527,0.011871784725
Cingulum,("Red nucleus"),1,684,2375,3059,0.000326904217064
("Inferior olive" OR "Inferior olivary"),periaqueductal,72,2308,4504,6812,0.0105695830887
"Inferior parietal lobule",("Ventral anterior" AND (nuclei OR nucleus)),1,795,236,1031,0.000969932104753
Hypothalam*,Pineal,1555,105994,12848,118842,0.0130845997206
(Intralaminar AND (nuclei OR nucleus)),("Mammillary body" OR "Mammillary bodies),14,1086,1355,2441,0.00573535436297
("Locus coeruleus" OR "locus ceruleus"),("Ventral posterolateral" AND (nuclei OR nucleus)),9,7630,139,7769,0.001158450251
("Nucleus gracilis" OR "gracile nucleus"),("Nucleus cuneatus" OR "cuneate nucleus"),78,296,614,910,0.0857142857143
("Medial dorsal" AND nucl*),Putamen,8,105,10741,10846,0.000737599114881
"Inferior frontal","Posterior parahippocampal gyrus",1,2811,40,2851,0.000350754121361
(Medulla OR "medulla oblongata"),"Olfactory bulb",393,50429,10818,61247,0.00641664081506
("Locus coeruleus" OR "locus ceruleus"),"Primary sensory",16,7623,2994,10617,0.00150701704813
("Locus coeruleus" OR "locus ceruleus"),Subthalam*,78,7561,4051,11612,0.00671718911471
"Postcentral gyrus","Thalamic reticular",0,531,600,1131,0.0
"Medial frontal",Striatum,126,1469,58814,60283,0.00209014149926
"Middle frontal",("Ventral posterior" AND (nuclei OR nucleus)),0,1028,356,1384,0.0
"Postcentral gyrus",("Ventral posterolateral" AND (nuclei OR nucleus)),0,531,148,679,0.0
"Posterior cingulate",("Posterior nucleus" AND hypothalamus),0,1902,67,1969,0.0
"Posterior cingulate",Precuneus,404,1498,816,2314,0.174589455488
"Posterior cingulate",("Straight gyrus" OR "gyrus rectus"),2,1900,128,2028,0.000986193293886
Perirhinal,("Superior olive" OR "superior olivary"),0,1200,1257,2457,0.0
"Superior frontal",("Ventral posteromedial" AND (nuclei OR nucleus)),0,1091,112,1203,0.0
("Ventral posterolateral" AND (nuclei OR nucleus)),"Zona incerta",2,146,972,1118,0.00178890876565
Putamen,Temporoparietal,18,10731,1442,12173,0.00147868232975
"Calcarine fissure",Hypothalam*,0,103,107549,107652,0.0
Cerebellum,"Inferior parietal lobule",107,65293,689,65982,0.00162165439059
(Dorsomedial AND hypothal*),"Globus pallidus",37,2102,8069,10171,0.00363779372726
"Calcarine fissure",("Straight gyrus" OR "gyrus rectus"),0,103,130,233,0.0
Caudate,"Paracentral lobule",7,18794,58,18852,0.0003713133885
Caudate,Entorhinal,198,18603,5349,23952,0.00826653306613
Caudate,"Inferior frontal",142,18659,2670,21329,0.00665760232547
Caudate,"Zona incerta",79,18722,895,19617,0.00402711933527
Cingulum,("Medial dorsal" AND nucl*),0,685,113,798,0.0
(Cochlear AND (nuclei OR nucleus)),Pineal,6,5301,14397,19698,0.000304599451721
(Cochlear AND (nuclei OR nucleus)),Fusiform,159,5148,5296,10444,0.0152240520873
"Dentate gyrus",(Superior AND collicul*),120,11323,9964,21287,0.00563724338798
"Indusium griseum","Interstitial nucleus",0,77,514,591,0.0
"Indusium griseum",("Ventral posterolateral" AND (nuclei OR nucleus)),0,77,148,225,0.0
Hypothalam*,"Posterior cingulate",52,107497,1850,109347,0.000475550312309
("Inferior olive" OR "Inferior olivary"),Insula*,13,2367,17160,19527,0.000665744866083
"Lingual gyrus","Posterior cingulate",36,218,1866,2084,0.0172744721689
("Nucleus cuneatus" OR "cuneate nucleus"),periaqueductal,20,672,4556,5228,0.00382555470543
("Medial dorsal" AND nucl*),"Postcentral gyrus",0,113,531,644,0.0
"Inferior frontal",(Periventricular AND (nuclei OR nucleus)),1,2811,2494,5305,0.000188501413761
"Inferior frontal",Infralimbic,0,2812,496,3308,0.0
"Medial geniculate","Supplementary motor",2,1247,2359,3606,0.000554631170272
"Inferior frontal","Lingual gyrus",52,2760,202,2962,0.0175557056043
Infralimbic,"Wernicke's area",0,496,251,747,0.0
Insula*,Premotor,324,16849,4405,21254,0.0152441893291
Pons,Subiculum,1928,23656,96313,119969,0.0160708182947
Premotor,("Red nucleus"),49,4680,2327,7007,0.00699300699301
Premotor,("Ventral posterior" AND (nuclei OR nucleus)),5,4724,351,5075,0.000985221674877
"Primary auditory",Subthalam*,4,1865,4125,5990,0.000667779632721
"Middle temporal","Primary sensory",7,1630,3003,4633,0.00151090006475
("Red nucleus"),"Visual extrastriate",0,2376,1534,3910,0.0
Pineal,"Zona incerta",9,14394,965,15359,0.000585975649456
"Posterior parahippocampal gyrus","Visual cortex",2,39,22878,22917,8.72714578697e-05
"Supplementary motor","Wernicke's area",10,2351,241,2592,0.00385802469136
Pulvinar,(Superior AND collicul*),245,888,9839,10727,0.0228395637177
Pulvinar,"Thalamic reticular",21,1112,579,1691,0.0124186871674
Pulvinar,Suprachiasmatic,5,1128,6021,7149,0.000699398517275
Subiculum,"Thalamic reticular",39,98202,561,98763,0.000394884724036
"Amygdala",("Straight gyrus" OR "gyrus rectus"),15,23342,115,23457,0.000639467962655
"Amygdala","Supplementary motor",31,23326,2330,25656,0.0012082943561
Cerebellum,periaqueductal,208,65192,4368,69560,0.00299022426682
"Lateral geniculate","Lingual gyrus",0,5180,254,5434,0.0
"Angular gyrus","Pontine nuclei",0,502,798,1300,0.0
"Lateral geniculate",Perirhinal,9,5171,1191,6362,0.0014146494813
Cingulate,(Cochlear AND (nuclei OR nucleus)),18,11086,5289,16375,0.00109923664122
"Lateral geniculate",(Periventricular AND (nuclei OR nucleus)),32,5148,2463,7611,0.00420444094074
"Diagonal band of Broca",Precuneus,0,895,1220,2115,0.0
"Lateral geniculate","Visual cortex",1802,3378,21078,24456,0.0736833496892
Ambiguus,"Visual extrastriate",0,1216,1534,2750,0.0
"Broca's area","Dentate gyrus",0,694,11443,12137,0.0
"Broca's area",periaqueductal,3,691,4573,5264,0.00056990881459
"Calcarine fissure","Primary sensory",2,101,3008,3109,0.000643293663557
("Centromedian" AND (nuclei OR nucleus)),Cingulate,9,207,11095,11302,0.000796319235534
Claustrum,("Gustatory cortex" OR "gustatory area"),25,82716,128,82844,0.000301772005215
"Dentate gyrus",Subgranular,466,10977,166,11143,0.041819976667
"Globus pallidus",(Periventricular AND (nuclei OR nucleus)),56,8050,2439,10489,0.00533892649442
Fusiform,"Inferior temporal",220,5235,1491,6726,0.0327088908712
"Inferior temporal",Precuneus,71,1640,1149,2789,0.0254571531015
("Inferior olive" OR "Inferior olivary"),"Medial geniculate",42,2338,1207,3545,0.0118476727786
("Medial dorsal" AND nucl*),("Nucleus gracilis" OR "gracile nucleus"),1,112,373,485,0.0020618556701
(Intralaminar AND (nuclei OR nucleus)),"Paracentral lobule",0,1100,65,1165,0.0
"Medial geniculate","Nucleus basalis",5,1244,1842,3086,0.00162022034997
(Medulla OR "medulla oblongata"),Putamen,234,50588,10515,61103,0.00382959920135
Infralimbic,"Thalamic reticular",2,494,598,1092,0.0018315018315
"Olfactory bulb","Posterior cingulate",4,11207,1898,13105,0.000305227012591
"Middle temporal","Wernicke's area",21,1616,230,1846,0.0113759479957
Orbitofrontal,Suprachiasmatic,3,2993,6023,9016,0.000332741792369
"Middle frontal","Olfactory bulb",2,1026,11209,12235,0.00016346546792
("Straight gyrus" OR "gyrus rectus"),Subiculum,20,110,98221,98331,0.000203394656822
"Stria terminalis",Suprachiasmatic,227,2503,5799,8302,0.0273428089617
Striatum,"Supplementary motor",156,58784,2205,60989,0.00255783829871
"Superior frontal",(Superior AND collicul*),1,1090,10083,11173,8.95014767744e-05
"Ventromedial prefrontal","Visual cortex",0,3,22880,22883,0.0
Putamen,(Raphe AND (nuclei OR nucleus)),231,10518,8090,18608,0.0124140154772
"Primary motor","Ventral tegmentum",1,3204,284,3488,0.000286697247706
"Medial geniculate",("Ventral anterior" AND (nuclei OR nucleus)),5,1244,232,1476,0.00338753387534
"Basal forbrain",Caudate,0,1,18801,18802,0.0
Cingulate,"Middle temporal",264,10840,1373,12213,0.0216163104888
(Dorsomedial AND hypothal*),(Medulla OR "medulla oblongata"),265,1874,50557,52431,0.00505426179169
("Gustatory cortex" OR "gustatory area"),Orbitofrontal,12,141,2984,3125,0.00384
"Basal forbrain","Thalamic reticular",0,1,600,601,0.0
"Basal forbrain",("Posterior nucleus" AND hypothalamus),0,1,67,68,0.0
("Gustatory cortex" OR "gustatory area"),"Pontine nuclei",0,153,798,951,0.0
Caudate,("Locus coeruleus" OR "locus ceruleus"),258,18543,7381,25924,0.00995216787533
"Broca's area",Perirhinal,1,693,1199,1892,0.000528541226216
Caudate,Striatum,11415,7386,47525,54911,0.207881845168
Claustrum,"Diagonal band of Broca",130,82611,765,83376,0.00155920168874
"Dentate gyrus",Prefrontal,190,11253,23911,35164,0.00540325332727
(Inferior AND collicul*),("Nucleus gracilis" OR "gracile nucleus"),19,4264,355,4619,0.0041134444685
("Inferior olive" OR "Inferior olivary"),"Olfactory bulb",59,2321,11152,13473,0.00437912862763
"Inferior parietal lobule","Piriform cortex",0,796,1743,2539,0.0
"Inferior parietal lobule",("Ventral posterolateral" AND (nuclei OR nucleus)),2,794,146,940,0.00212765957447
"Inferior temporal","Posterior parahippocampal gyrus",2,1709,39,1748,0.00114416475973
"Inferior parietal lobule","Lateral geniculate",3,793,5177,5970,0.000502512562814
Hippocamp*,("Ventral anterior" AND (nuclei OR nucleus)),15,104079,222,104301,0.000143814536773
"Inferior parietal lobule",("Nucleus cuneatus" OR "cuneate nucleus"),0,796,692,1488,0.0
("Nucleus cuneatus" OR "cuneate nucleus"),Suprachiasmatic,4,688,6022,6710,0.000596125186289
("Nucleus cuneatus" OR "cuneate nucleus"),Pons,88,604,25496,26100,0.00337164750958
("Medial dorsal" AND nucl*),Subiculum,21,92,98220,98312,0.000213605663602
(Inferior AND collicul*),"Wernicke's area",0,4283,251,4534,0.0
(Medulla OR "medulla oblongata"),"Middle frontal",2,50820,1026,51846,3.8575782124e-05
"Middle frontal","Substantia nigra",8,1020,19379,20399,0.000392176087063
"Pontine nuclei",("Ventral posteromedial" AND (nuclei OR nucleus)),1,797,111,908,0.0011013215859
Operculum,"Visual extrastriate",6,920,1528,2448,0.00245098039216
"Paracentral lobule",(Raphe AND (nuclei OR nucleus)),0,65,8321,8386,0.0
Pons,Suprachiasmatic,67,25517,5959,31476,0.00212860592197
Prefrontal,"Zona incerta",32,24069,942,25011,0.0012794370477
"Olfactory bulb",(Superior AND collicul*),206,11005,9878,20883,0.00986448307236
("Straight gyrus" OR "gyrus rectus"),(Superior AND collicul*),0,130,10084,10214,0.0
Subthalam*,"Visual extrastriate",0,4129,1534,5663,0.0
Striatum,"Visual extrastriate",34,58906,1500,60406,0.000562857994239
"Posterior parietal",(Raphe AND (nuclei OR nucleus)),3,2151,8318,10469,0.000286560320948
"Piriform cortex",Thalamus,222,1521,42660,44181,0.00502478440959
"Supplementary motor",Suprachiasmatic,0,2361,6026,8387,0.0
"Primary motor",(Superior AND collicul*),17,3188,10067,13255,0.00128253489249
Pulvinar,"Superior frontal",2,1131,1089,2220,0.000900900900901
Subgranular,"Superior frontal",0,632,1091,1723,0.0
"Substantia nigra",("Superior olive" OR "superior olivary"),39,19348,1218,20566,0.00189633375474
"Visual cortex","Visual extrastriate",1070,21810,464,22274,0.0480380712939
"Amygdala","Posterior cingulate",204,23153,1698,24851,0.00820892519416
"Anterior cingulate",Subiculum,741,5061,97500,102561,0.0072249685553
(Intralaminar AND (nuclei OR nucleus)),Precuneus,1,1099,1219,2318,0.000431406384814
Cerebellum,("Red nucleus"),724,64676,1652,66328,0.0109154504885
("Centromedian" AND (nuclei OR nucleus)),Subiculum,19,197,98222,98419,0.000193052154564
(Dorsomedial AND hypothal*),("Ventral anterior" AND (nuclei OR nucleus)),7,2132,230,2362,0.00296359017782
"Broca's area",Prefrontal,123,571,23978,24549,0.00501038738849
"Broca's area","Basal forbrain",0,694,1,695,0.0
"Broca's area",(Superior AND collicul*),1,693,10083,10776,9.27988121752e-05
Cingulate,"Thalamic reticular",10,11094,590,11684,0.00085587127696
Hypothalam*,Perirhinal,93,107456,1107,108563,0.000856645450107
("Gustatory cortex" OR "gustatory area"),"Wernicke's area",0,153,251,404,0.0
"Inferior temporal",("Straight gyrus" OR "gyrus rectus"),5,1706,125,1831,0.00273074822501
("Locus coeruleus" OR "locus ceruleus"),("Ventral posteromedial" AND (nuclei OR nucleus)),0,7639,112,7751,0.0
Hippocamp*,"Ventromedial prefrontal",0,104094,3,104097,0.0
("Mammillary body" OR "Mammillary bodies),("Nucleus gracilis" OR "gracile nucleus"),0,0,374,374,0.0
"Lingual gyrus","Posterior parietal",7,247,2147,2394,0.00292397660819
("Mammillary body" OR "Mammillary bodies),"Medial frontal",35,35,1594,1629,0.0214855739718
Insula*,"Substantia nigra",122,17051,19265,36316,0.00335940081507
"Nucleus basalis","Posterior parietal",7,1840,2147,3987,0.00175570604465
"Inferior temporal",Orbitofrontal,57,1654,2939,4593,0.0124101894187
"Inferior frontal","Postcentral gyrus",58,2754,473,3227,0.0179733498606
Parahippocamp*,Pineal,1,2658,14402,17060,5.86166471278e-05
"Inferior frontal",(Septal AND (nuclei OR nucleus)),1,2811,4659,7470,0.000133868808568
("Nucleus gracilis" OR "gracile nucleus"),Suprachiasmatic,0,374,6026,6400,0.0
(Inferior AND collicul*),"Visual extrastriate",7,4276,1527,5803,0.00120627261761
"Nucleus accumbens",(Superior AND collicul*),151,12394,9933,22327,0.00676311192726
("Locus coeruleus" OR "locus ceruleus"),"Superior temporal",12,7627,4095,11722,0.0010237160894
Pons,(Septal AND (nuclei OR nucleus)),159,25425,4501,29926,0.00531310566063
(Periventricular AND (nuclei OR nucleus)),"Primary sensory",5,2490,3005,5495,0.00090991810737
"Middle frontal",("Nucleus gracilis" OR "gracile nucleus"),0,1028,374,1402,0.0
(Septal AND (nuclei OR nucleus)),"Zona incerta",66,4594,908,5502,0.0119956379498
Pineal,("Red nucleus"),11,14392,2365,16757,0.000656442083905
"Middle frontal",Putamen,43,985,10706,11691,0.00367804293901
("Straight gyrus" OR "gyrus rectus"),"Superior temporal",9,121,4098,4219,0.00213320692107
Pineal,"Superior frontal",0,14403,1091,15494,0.0
("Ventral anterior" AND (nuclei OR nucleus)),Thalamus,197,40,42685,42725,0.00461088355764
Prefrontal,Premotor,973,23128,3756,26884,0.0361925308734
Infralimbic,"Posterior parietal",2,494,2152,2646,0.000755857898715
Parahippocamp*,"Posterior cingulate",207,2452,1695,4147,0.0499156016397
"Amygdala",(Medulla OR "medulla oblongata"),827,22530,49995,72525,0.011402964495
"Amygdala",Precuneus,80,23277,1140,24417,0.00327640578286
"Dorsolateral prefrontal",("Posterior nucleus" AND hypothalamus),0,3004,67,3071,0.0
(Dorsomedial AND hypothal*),"Dorsolateral prefrontal",4,2135,3000,5135,0.000778967867575
"Diagonal band of Broca","Lingual gyrus",0,895,254,1149,0.0
(Dorsomedial AND hypothal*),(Intralaminar AND (nuclei OR nucleus)),24,2115,1076,3191,0.0075211532435
Entorhinal,"Postcentral gyrus",2,5545,529,6074,0.000329272308199
"Dorsolateral prefrontal","Superior frontal",66,2938,1025,3963,0.0166540499621
("Gustatory cortex" OR "gustatory area"),"Olfactory bulb",4,149,11207,11356,0.000352236703064
"Calcarine fissure",(Periventricular AND (nuclei OR nucleus)),0,103,2495,2598,0.0
("Heschl's gyrus" OR "Transverse temporal"),Parahippocamp*,24,1124,2635,3759,0.00638467677574
Cingulate,"Substantia nigra",293,10811,19094,29905,0.00979769269353
Cingulum,"Ventral tegmentum",0,685,285,970,0.0
Cingulum,"Posterior parahippocampal gyrus",0,685,41,726,0.0
"Dentate gyrus",Orbitofrontal,14,11429,2982,14411,0.000971480119353
(Cochlear AND (nuclei OR nucleus)),Orbitofrontal,1,5306,2995,8301,0.000120467413565
"Indusium griseum","Lingual gyrus",0,77,254,331,0.0
Entorhinal,"Ventral tegmentum",4,5543,281,5824,0.000686813186813
"Inferior parietal lobule",periaqueductal,0,796,4576,5372,0.0
Fusiform,"Indusium griseum",1,5454,76,5530,0.000180831826401
Entorhinal,("Ventral posterolateral" AND (nuclei OR nucleus)),3,5544,145,5689,0.000527333450519
"Inferior temporal",Prefrontal,225,1486,23876,25362,0.00887154009936
"Inferior temporal",("Ventral anterior" AND (nuclei OR nucleus)),0,1711,237,1948,0.0
("Nucleus cuneatus" OR "cuneate nucleus"),Perirhinal,1,691,1199,1890,0.000529100529101
("Nucleus cuneatus" OR "cuneate nucleus"),("Straight gyrus" OR "gyrus rectus"),0,692,130,822,0.0
"Nucleus basalis",("Ventral posterolateral" AND (nuclei OR nucleus)),1,1846,147,1993,0.000501756146513
"Nucleus basalis","Visual extrastriate",0,1847,1534,3381,0.0
